Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121559-89675,RB,Jonathan,Jonathan Taylor,Taylor,24,6,10000,IND@LAC,IND,LAC,,,,,,RB/FLEX
121559-72731,RB,Josh,Josh Jacobs,Jacobs,19.4,5,9200,GB@ARI,GB,ARI,,,,,,RB/FLEX
121559-85671,WR,Justin,Justin Jefferson,Jefferson,14.360000610351562,5,9000,PHI@MIN,MIN,PHI,,,,,,WR/FLEX
121559-102785,QB,Jayden,Jayden Daniels,Daniels,19.899999618530273,4,8700,WAS@DAL,WAS,DAL,,,,,,QB
121559-64401,RB,Saquon,Saquon Barkley,Barkley,13.283332824707031,6,8700,PHI@MIN,PHI,MIN,,,,,,RB/FLEX
121559-86631,WR,CeeDee,CeeDee Lamb,Lamb,18.100000381469727,2,8600,WAS@DAL,DAL,WAS,Q,Ankle,,,,WR/FLEX
121559-138820,RB,De'Von,De'Von Achane,Achane,18.666666666666668,6,8500,MIA@CLE,MIA,CLE,,,,,,RB/FLEX
121559-69531,QB,Jalen,Jalen Hurts,Hurts,20.896666208902996,6,8400,PHI@MIN,PHI,MIN,,,,,,QB
121559-31716,QB,Dak,Dak Prescott,Prescott,22.09666697184245,6,8300,WAS@DAL,DAL,WAS,,,,,,QB
121559-152316,QB,Drake,Drake Maye,Maye,20.896666208902996,6,8200,NE@TEN,NE,TEN,,,,,,QB
121559-57439,QB,Patrick,Patrick Mahomes,Mahomes,25.29333241780599,6,8000,LV@KC,KC,LV,,,,,,QB
121559-110246,WR,George,George Pickens,Pickens,18.416666666666668,6,8000,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
121559-152113,QB,Caleb,Caleb Williams,Williams,20.79199981689453,5,7900,NO@CHI,CHI,NO,,,,,,QB
121559-120033,WR,Rome,Rome Odunze,Odunze,15.360000610351562,5,7800,NO@CHI,CHI,NO,,,,,,WR/FLEX
121559-69017,QB,Jordan,Jordan Love,Love,18.832000732421875,5,7800,GB@ARI,GB,ARI,,,,,,QB
121559-72297,RB,Rico,Rico Dowdle,Dowdle,14.59999974568685,6,7800,CAR@NYJ,CAR,NYJ,,,,,,RB/FLEX
121559-57403,WR,Courtland,Courtland Sutton,Sutton,12.116666158040365,6,7700,NYG@DEN,DEN,NYG,,,,,,WR/FLEX
121559-72846,WR,A.J.,A.J. Brown,Brown,8.15000025431315,6,7600,PHI@MIN,PHI,MIN,,,,,,WR/FLEX
121559-69189,QB,Justin,Justin Herbert,Herbert,19.536666870117188,6,7600,IND@LAC,LAC,IND,,,,,,QB
121559-63519,QB,Daniel,Daniel Jones,Jones,20.613333384195965,6,7500,IND@LAC,IND,LAC,,,,,,QB
121559-93541,RB,Javonte,Javonte Williams,Williams,17.316666920979817,6,7500,WAS@DAL,DAL,WAS,,,,,,RB/FLEX
121559-103564,WR,Garrett,Garrett Wilson,Wilson,13.583333333333334,6,7400,CAR@NYJ,NYJ,CAR,D,Knee,,,,WR/FLEX
121559-169410,RB,Quinshon,Quinshon Judkins,Judkins,12.8,5,7400,MIA@CLE,CLE,MIA,,,,,,RB/FLEX
121559-91591,QB,Justin,Justin Fields,Fields,18.29199981689453,5,7400,CAR@NYJ,NYJ,CAR,,,,,,QB
121559-167031,RB,Ashton,Ashton Jeanty,Jeanty,14.616666158040365,6,7300,LV@KC,LV,KC,,,,,,RB/FLEX
121559-133472,WR,Ladd,Ladd McConkey,McConkey,10.049999872843424,6,7300,IND@LAC,LAC,IND,,,,,,WR/FLEX
121559-151966,QB,Jaxson,Jaxson Dart,Dart,12.204000091552734,5,7300,NYG@DEN,NYG,DEN,,,,,,QB
121559-63484,QB,Kyler,Kyler Murray,Murray,16.155999755859376,5,7300,GB@ARI,ARI,GB,Q,Foot,,,,QB
