Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124699-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,20.286665852864584,15,9600,SEA@CAR,SEA,CAR,,,,,,WR/FLEX
124699-89675,RB,Jonathan,Jonathan Taylor,Taylor,22.233333333333334,15,9500,JAC@IND,IND,JAC,,,,,,RB/FLEX
124699-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.5,14,9400,ARI@CIN,CIN,ARI,,,,,,WR/FLEX
124699-91626,RB,James,James Cook III,Cook III,20.2,15,9000,PHI@BUF,BUF,PHI,,,,,,RB/FLEX
124699-138820,RB,De'Von,De'Von Achane,Achane,19.240000406901043,15,8800,TB@MIA,MIA,TB,,,,,,RB/FLEX
124699-62239,QB,Josh,Josh Allen,Allen,24.02933349609375,15,8800,PHI@BUF,BUF,PHI,Q,Foot,,,,QB
124699-63336,QB,Joe,Joe Burrow,Burrow,16.65333302815755,6,8700,ARI@CIN,CIN,ARI,,,,,,QB
124699-64401,RB,Saquon,Saquon Barkley,Barkley,14.4,15,8700,PHI@BUF,PHI,BUF,,,,,,RB/FLEX
124699-72846,WR,A.J.,A.J. Brown,Brown,13.357142857142858,14,8600,PHI@BUF,PHI,BUF,Q,Teeth,,,,WR/FLEX
124699-69531,QB,Jalen,Jalen Hurts,Hurts,19.944000244140625,15,8600,PHI@BUF,PHI,BUF,,,,,,QB
124699-152316,QB,Drake,Drake Maye,Maye,20.95199991861979,15,8400,NE@NYJ,NE,NYJ,,,,,,QB
124699-152664,RB,Bucky,Bucky Irving,Irving,13.800000190734863,8,8300,TB@MIA,TB,MIA,,,,,,RB/FLEX
124699-32384,WR,Mike,Mike Evans,Evans,9.633333206176758,6,8300,TB@MIA,TB,MIA,,,,,,WR/FLEX
124699-87770,WR,Chris,Chris Olave,Olave,13.540000406901042,15,8100,NO@TEN,NO,TEN,,,,,,WR/FLEX
124699-89493,RB,Chase,Chase Brown,Brown,13.966666666666667,15,8000,ARI@CIN,CIN,ARI,,,,,,RB/FLEX
124699-91750,TE,Trey,Trey McBride,McBride,15.553333536783855,15,8000,ARI@CIN,ARI,CIN,,,,,,TE/FLEX
124699-89951,QB,Trevor,Trevor Lawrence,Lawrence,20.384000651041667,15,8000,JAC@IND,JAC,IND,,,,,,QB
124699-41535,QB,Baker,Baker Mayfield,Mayfield,16.817332967122397,15,7800,TB@MIA,TB,MIA,,,,,,QB
124699-30231,QB,Jacoby,Jacoby Brissett,Brissett,17.861666361490887,12,7600,ARI@CIN,ARI,CIN,,,,,,QB
124699-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,15.159999593098958,15,7600,JAC@IND,JAC,IND,,,,,,RB/FLEX
124699-167031,RB,Ashton,Ashton Jeanty,Jeanty,13.626666259765624,15,7500,NYG@LV,LV,NYG,,,,,,RB/FLEX
124699-89981,WR,Tee,Tee Higgins,Higgins,12.423076923076923,13,7500,ARI@CIN,CIN,ARI,,,,,,WR/FLEX
124699-63589,QB,Sam,Sam Darnold,Darnold,15.96800028483073,15,7400,SEA@CAR,SEA,CAR,,,,,,QB
124699-112057,RB,Jaylen,Jaylen Warren,Warren,13.164285932268415,14,7400,PIT@CLE,PIT,CLE,,,,,,RB/FLEX
124699-90576,WR,DeVonta,DeVonta Smith,Smith,10.606667073567708,15,7400,PHI@BUF,PHI,BUF,,,,,,WR/FLEX
124699-88431,QB,Tyler,Tyler Shough,Shough,13.586666531032986,9,7300,NO@TEN,NO,TEN,,,,,,QB
124699-72297,RB,Rico,Rico Dowdle,Dowdle,13.066666666666666,15,7300,SEA@CAR,CAR,SEA,,,,,,RB/FLEX
124699-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,11.526666259765625,15,7300,SEA@CAR,CAR,SEA,,,,,,WR/FLEX
124699-73048,WR,DK,DK Metcalf,Metcalf,10.913333129882812,15,7100,PIT@CLE,PIT,CLE,IR,Suspension,,,,WR/FLEX
124699-151966,QB,Jaxson,Jaxson Dart,Dart,16.758333841959637,12,7100,NYG@LV,NYG,LV,,,,,,QB
124699-103064,RB,Breece,Breece Hall,Hall,11.917332967122396,15,7100,NE@NYJ,NYJ,NE,,,,,,RB/FLEX
124699-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,11.279999796549479,15,7000,NE@NYJ,NE,NYJ,Q,Concussion,,,,RB/FLEX
124699-151794,TE,Brock,Brock Bowers,Bowers,12.516666412353516,12,7000,NYG@LV,LV,NYG,IR,Knee,,,,TE/FLEX
124699-90573,WR,Jaylen,Jaylen Waddle,Waddle,10.961333211263021,15,7000,TB@MIA,MIA,TB,,,,,,WR/FLEX
124699-6894,QB,Aaron,Aaron Rodgers,Rodgers,14.892857142857142,14,7000,PIT@CLE,PIT,CLE,,,,,,QB
124699-89612,WR,Michael,Michael Wilson,Wilson,10.32000020345052,15,6900,ARI@CIN,ARI,CIN,,,,,,WR/FLEX
124699-119606,QB,Bryce,Bryce Young,Young,14.831428527832031,14,6900,SEA@CAR,CAR,SEA,,,,,,QB
124699-63634,WR,Jakobi,Jakobi Meyers,Meyers,9.035714285714286,14,6800,JAC@IND,JAC,IND,,,,,,WR/FLEX
124699-45565,TE,Taysom,Taysom Hill,Hill,2.870909083973278,11,6800,NO@TEN,NO,TEN,,,,,,TE/FLEX
124699-103342,RB,Kenneth,Kenneth Walker III,Walker III,10.693332926432292,15,6700,SEA@CAR,SEA,CAR,,,,,,RB/FLEX
124699-184183,QB,Shedeur,Shedeur Sanders,Sanders,13.569999694824219,6,6600,PIT@CLE,CLE,PIT,,,,,,QB
124699-93539,RB,Michael,Michael Carter,Carter,6.527273004705256,11,6500,ARI@CIN,ARI,CIN,,,,,,RB/FLEX
124699-25079,WR,Stefon,Stefon Diggs,Diggs,10.326666259765625,15,6500,NE@NYJ,NE,NYJ,,,,,,WR/FLEX
