2025-10-16 08:03:07,718 | PERF | load_player_data | Duration: 0.116s
2025-10-16 08:09:40,186 | PERF | load_player_data | Duration: 0.072s
2025-10-16 08:11:17,469 | PERF | load_player_data | Duration: 0.101s
2025-10-16 08:13:17,390 | PERF | load_player_data | Duration: 0.114s
2025-10-16 08:17:44,559 | PERF | load_player_data | Duration: 0.118s
2025-10-16 08:23:05,203 | PERF | load_player_data | Duration: 0.115s
2025-10-16 08:26:42,484 | PERF | load_player_data | Duration: 0.082s
2025-10-16 08:29:06,086 | PERF | load_player_data | Duration: 0.161s
2025-10-16 09:10:18,123 | PERF | load_player_data | Duration: 0.119s
2025-10-16 09:20:28,652 | PERF | load_player_data | Duration: 0.055s
2025-10-16 09:26:16,224 | PERF | load_player_data | Duration: 0.104s
2025-10-16 09:30:34,672 | PERF | load_player_data | Duration: 0.082s
2025-10-16 09:42:06,283 | PERF | load_player_data | Duration: 0.121s
2025-10-16 10:19:24,754 | PERF | load_player_data | Duration: 0.133s
2025-10-16 10:49:21,977 | PERF | load_player_data | Duration: 0.097s
2025-10-16 10:57:42,572 | PERF | load_player_data | Duration: 0.141s
2025-10-16 11:04:41,552 | PERF | load_player_data | Duration: 0.192s
2025-10-16 11:13:02,892 | PERF | load_player_data | Duration: 0.068s
2025-10-16 11:18:13,516 | PERF | load_player_data | Duration: 0.072s
2025-10-16 14:50:09,040 | PERF | load_player_data | Duration: 0.202s
2025-10-16 14:52:38,033 | PERF | load_player_data | Duration: 0.172s
